Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
2015-01-01;2015-01-02;96341,25;27463,00;12508,50;298791,75;17080,25;2148,50;251485,25;314599,00;60725,25;23806,00;23683,50;134117,00
2015-01-02;2015-01-03;96247,25;27087,75;10329,25;591620,75;7759,00;2904,00;218435,50;257344,00;83617,25;29919,25;25524,75;148762,00
2015-01-03;2015-01-04;95923,75;31135,75;12119,50;457043,50;7234,75;3245,00;245251,50;296727,50;60999,25;29790,75;26328,75;139297,00
2015-01-04;2015-01-05;96885,00;42212,25;11538,50;379029,50;19982,50;3247,00;251627,75;287900,50;47224,50;21470,75;26499,25;132493,75
2015-01-05;2015-01-06;96449,00;38092,50;7745,50;219623,50;26522,25;3217,75;267081,00;405171,25;177046,75;35151,75;25738,50;207876,00
2015-01-06;2015-01-07;94510,50;36153,00;6887,75;102706,75;32887,25;3246,25;273756,00;423603,75;259151,75;42873,25;19500,75;217470,50
2015-01-07;2015-01-08;95730,50;35462,50;10693,25;210599,00;17114,75;3265,50;274628,50;432580,25;259317,75;56351,25;26789,75;225419,50
2015-01-08;2015-01-09;95878,75;35839,25;12334,75;420530,25;8598,25;3004,00;272119,25;398987,00;223824,00;38659,50;30748,25;189578,00
2015-01-09;2015-01-10;97246,50;36483,50;8800,25;635351,75;6823,75;2994,25;265038,00;332049,25;120109,25;39516,00;32508,75;153610,25
2015-01-10;2015-01-11;97423,50;44021,25;6504,75;624062,50;20475,00;3190,75;260759,50;220411,25;46806,25;21427,50;27274,75;139439,50
2015-01-11;2015-01-12;97019,50;43132,75;9552,25;620424,50;19811,25;3252,50;245074,00;184685,50;39772,00;18218,00;21749,25;137690,25
2015-01-12;2015-01-13;97835,25;41993,00;11670,50;621972,25;11025,00;3156,75;260996,00;319847,75;116508,50;33819,75;25220,00;24344,00
2015-01-13;2015-01-14;97231,00;40001,25;8940,75;508998,75;50283,75;2135,50;266823,25;349167,75;165980,25;37937,50;27453,00;23065,25
2015-01-14;2015-01-15;96694,00;39135,00;8974,50;400045,75;18106,00;3017,00;269735,50;397912,00;217210,00;35094,50;28666,50;24753,00
2015-01-15;2015-01-16;97259,75;39645,75;12271,25;536748,75;17155,00;3321,25;264059,00;380706,75;174614,50;36535,50;29153,00;145820,00
2015-01-16;2015-01-17;96885,25;39171,25;10403,25;257051,50;22817,75;3271,00;268893,00;413406,75;241881,50;36610,25;28506,75;200534,25
2015-01-17;2015-01-18;97477,75;39532,75;11518,50;122733,00;21405,50;3225,50;270262,00;430839,75;229075,00;30315,25;27817,75;162602,50
2015-01-18;2015-01-19;97890,50;38584,50;5238,50;126265,00;31259,00;3364,50;265666,50;424949,75;203581,75;35578,00;24383,75;151311,75
2015-01-19;2015-01-20;97017,50;39067,75;481,25;32878,50;23682,00;3308,50;273062,25;454009,25;276538,50;79073,75;29304,00;241982,00
2015-01-20;2015-01-21;97555,75;41197,25;1281,75;15892,00;10790,75;3259,50;273777,25;469374,75;287675,25;93643,75;35436,00;258606,25
2015-01-21;2015-01-22;97672,00;42070,00;2322,25;45236,50;22120,75;3344,75;273968,75;455153,75;299765,00;92048,50;29634,50;251168,50
2015-01-22;2015-01-23;97424,75;40761,50;1289,00;63024,50;12118,00;3343,75;274210,50;440998,50;320655,50;87350,50;36052,00;246308,75
2015-01-23;2015-01-24;96673,75;39414,00;4399,00;31449,00;7013,00;3329,75;274205,25;443102,25;330013,25;73693,25;35249,50;235487,50
2015-01-24;2015-01-25;96977,00;36880,75;11741,25;142059,00;9833,50;3314,50;272426,75;440764,25;254449,00;38135,25;23025,00;167761,50
2015-01-25;2015-01-26;97662,75;33328,75;8604,25;107670,75;11570,00;3198,25;267070,25;430662,25;224340,25;34158,75;23280,75;162787,00
2015-01-26;2015-01-27;98079,50;33015,25;14427,25;204852,00;10595,00;3306,25;272757,00;416757,00;304283,50;57466,50;29058,25;234396,75
2015-01-27;2015-01-28;98047,25;34890,00;11132,25;266563,75;17572,50;3150,75;272870,25;394732,50;293353,00;50365,25;26024,50;240059,00
2015-01-28;2015-01-29;97333,00;35021,75;13715,00;412118,25;16580,00;3223,75;271213,25;375403,50;261068,00;49441,00;25567,50;198105,00
2015-01-29;2015-01-30;97147,25;35600,00;10958,25;405875,00;27782,50;3091,00;270379,50;361412,50;236926,25;46946,00;35334,25;202850,00
2015-01-30;2015-01-31;97001,00;37945,50;1614,75;88741,50;13462,75;3310,50;264953,50;431751,25;305659,25;58158,75;32714,00;236388,00
2015-01-31;2015-02-01;96732,50;36429,25;1974,50;131315,25;20211,75;3370,00;249181,25;415167,00;265512,25;42136,50;24233,75;190122,25
2015-02-01;2015-02-02;98474,75;32457,00;6004,00;114063,25;24681,00;3440,25;271631,25;422167,00;203939,75;39756,00;20531,75;155978,50
2015-02-02;2015-02-03;98447,25;32058,75;8150,75;189803,50;20266,75;3406,75;273117,75;437696,75;294568,00;59962,25;28659,50;233172,25
2015-02-03;2015-02-04;98246,75;33587,25;7582,25;93829,75;27528,50;3382,00;271976,50;432664,25;330503,25;90401,25;25083,25;242037,25
2015-02-04;2015-02-05;97879,75;34923,75;2774,25;38859,50;31950,25;3332,00;273548,50;418455,25;349316,25;105697,00;24115,00;248121,75
2015-02-05;2015-02-06;97081,25;33822,75;5602,00;112927,75;29039,00;3410,00;272496,50;419037,00;339374,25;87585,50;31225,00;245107,75
2015-02-06;2015-02-07;96877,00;32300,50;1745,25;172794,50;46342,00;3428,25;272426,50;425162,25;320107,25;62735,25;30115,00;230200,50
2015-02-07;2015-02-08;97028,25;31498,75;13894,50;251384,00;46831,25;3102,50;266636,25;370363,75;197408,75;54030,00;27405,50;159861,25
2015-02-08;2015-02-09;97401,00;29634,50;15964,00;396206,50;52428,50;2788,50;244010,25;305876,00;108919,25;46476,00;22993,50;146572,50
2015-02-09;2015-02-10;96572,25;28714,50;17228,25;371386,00;15048,75;3144,50;270421,50;376337,50;238943,00;60929,25;27364,25;213573,25
2015-02-10;2015-02-11;97645,75;30728,75;10610,00;143115,50;24127,00;3334,75;272096,75;424264,50;323071,75;73138,75;22320,00;235290,50
2015-02-11;2015-02-12;97220,50;30882,75;760,75;26261,75;28009,50;3273,25;272679,25;425961,00;363684,00;84644,25;28984,50;245278,75
2015-02-12;2015-02-13;96953,00;31503,25;824,75;22821,25;40587,00;3394,75;272747,50;427596,75;371705,50;68828,25;34890,50;240071,50
2015-02-13;2015-02-14;96844,25;32145,75;8094,00;83745,75;64533,00;3379,00;272253,25;425306,75;339556,00;56802,00;28420,00;233986,25
2015-02-14;2015-02-15;97068,50;29681,25;10480,75;106553,00;67186,00;3372,00;271013,25;398623,00;263928,25;44114,00;25967,00;179617,00
2015-02-15;2015-02-16;96376,75;27404,50;17464,25;181931,00;60939,25;2814,75;269052,75;380060,00;182137,25;38659,00;17545,25;148541,25
2015-02-16;2015-02-17;95810,75;27673,25;12911,25;196276,25;60863,00;2775,50;266339,25;386119,75;305146,00;53211,75;22502,50;213222,75
2015-02-17;2015-02-18;95982,25;30202,00;4633,50;62855,50;40311,25;3039,00;270188,25;418857,00;344595,75;65219,00;34787,25;240480,50
2015-02-18;2015-02-19;95458,25;32459,00;15271,25;112829,50;40083,75;3252,25;265235,50;422642,50;352509,50;61446,50;25792,25;233089,50
2015-02-19;2015-02-20;95072,25;32608,75;17781,25;221703,50;62936,75;3225,50;269745,75;404669,25;320790,75;59248,25;30235,75;223687,50
2015-02-20;2015-02-21;95272,50;29757,25;12337,00;320161,75;79745,50;3012,50;266023,75;381130,00;276530,50;55250,75;21711,50;182648,00
2015-02-21;2015-02-22;95416,00;27946,25;4134,50;274206,25;49620,25;2371,00;262397,25;315799,25;222901,00;34447,00;30717,75;165255,75
2015-02-22;2015-02-23;95626,25;28054,00;14439,00;135206,75;52145,75;2413,00;261822,25;363470,50;195215,75;33650,25;23431,25;166883,50
2015-02-23;2015-02-24;95516,25;28641,75;16934,75;354994,75;28046,25;2442,50;261923,25;360109,00;253738,75;53687,50;32132,75;198405,25
2015-02-24;2015-02-25;95486,25;32121,50;18267,50;301874,25;50806,00;2429,00;265700,00;398854,25;283582,50;43762,75;25534,25;204075,00
2015-02-25;2015-02-26;95745,50;31560,00;7703,00;107150,75;72248,25;2425,00;266781,00;419474,75;302799,00;54238,50;25690,75;239301,50
2015-02-26;2015-02-27;95407,50;31472,25;10017,00;158760,75;106263,00;2465,25;267122,50;431258,75;303458,50;44370,50;28883,25;214236,00
2015-02-27;2015-02-28;94913,50;30837,25;5551,75;136599,00;65844,25;2534,75;267743,25;429540,75;320660,25;43079,25;35341,50;223579,75
2015-02-28;2015-03-01;95468,50;31476,75;15598,50;177401,75;82592,50;2506,00;261691,75;428260,50;177809,25;39984,50;23632,00;153534,50
2015-03-01;2015-03-02;96327,75;29791,50;19627,00;434905,25;36689,25;1912,25;243303,75;372489,75;61450,50;37809,25;26811,25;156072,25
2015-03-02;2015-03-03;96179,75;32811,00;18369,25;483546,25;65600,25;2168,75;263067,75;406073,00;171471,00;49582,00;32483,75;164171,75
2015-03-03;2015-03-04;95826,00;36694,75;15562,50;423001,75;101145,50;2540,50;261889,25;400688,25;186193,50;47628,75;30890,25;172452,50
2015-03-04;2015-03-05;95813,75;34798,00;18913,75;362957,25;70461,00;2737,75;264458,50;434514,25;217247,00;43562,75;28395,75;173240,50
2015-03-05;2015-03-06;95492,00;34738,50;11666,00;161206,00;68652,50;2936,00;265961,75;438038,75;311562,50;42947,75;31322,75;210794,75
2015-03-06;2015-03-07;95660,25;35833,75;16065,00;119917,25;65593,75;3095,50;265357,50;426124,50;328365,50;40170,50;34283,50;203996,25
2015-03-07;2015-03-08;95455,50;33823,50;20235,00;242499,50;114555,75;2186,75;248187,75;396709,25;158838,00;29638,75;25718,75;137104,75
2015-03-08;2015-03-09;95487,50;31295,50;18338,75;190871,75;134966,50;1923,25;234835,75;402762,50;113141,75;29992,50;19062,50;133404,75
2015-03-09;2015-03-10;95469,25;31024,25;8102,25;64613,50;118812,25;2207,50;238260,50;424122,00;299322,25;40696,25;31140,75;213553,25
2015-03-10;2015-03-11;95487,25;31943,75;16433,50;128493,75;97028,75;2192,75;239012,75;417759,25;334352,00;37159,50;22352,75;214986,75
2015-03-11;2015-03-12;95021,00;31882,25;5509,75;124819,00;114653,25;2015,00;240035,50;416777,75;314527,75;49298,25;22891,00;211665,50
2015-03-12;2015-03-13;93280,75;31626,25;5135,50;65247,00;104666,50;1408,25;240263,25;416405,50;336124,25;41251,75;23367,75;220004,00
2015-03-13;2015-03-14;93673,50;31801,75;16207,75;138819,50;85051,75;1415,50;238941,00;407048,25;296920,00;47762,75;37484,25;215757,50
2015-03-14;2015-03-15;94425,25;32238,75;17424,25;128219,75;41483,75;2242,75;238919,25;387968,00;254355,75;48536,00;27993,75;180213,00
2015-03-15;2015-03-16;94404,75;30331,75;19743,50;215616,00;63374,00;2839,25;233095,00;365408,50;128341,25;41167,25;21073,50;133293,50
2015-03-16;2015-03-17;93805,75;30040,00;21364,25;315808,00;117277,00;2345,25;236451,50;346734,75;207643,50;52932,25;35614,00;175325,00
2015-03-17;2015-03-18;94095,50;31362,00;12501,25;178212,00;131458,75;1952,25;237540,00;386895,25;257908,00;50008,75;32095,25;194087,25
2015-03-18;2015-03-19;94861,50;32604,00;2474,25;115569,00;149835,50;2098,00;237125,50;427487,25;284444,75;48318,25;23937,50;207344,75
2015-03-19;2015-03-20;94731,25;32809,25;5836,00;42162,75;135883,25;2419,75;237845,75;434289,00;323672,50;37840,25;36574,00;224339,00
2015-03-20;2015-03-21;95396,75;32165,00;6804,00;26563,50;123324,75;2666,00;237210,75;431248,25;312790,25;52417,50;32213,25;215854,00
2015-03-21;2015-03-22;95770,75;31723,75;16949,25;136436,00;75308,75;2649,50;228853,25;420486,25;215363,50;37715,50;27863,00;141038,50
2015-03-22;2015-03-23;96167,75;33745,50;5133,50;137065,50;87079,75;2493,75;211994,50;396392,75;158132,25;36609,00;32882,00;132588,75
2015-03-23;2015-03-24;95271,00;32382,25;15134,00;54606,50;113187,50;2808,50;218747,00;397491,75;308771,50;53570,75;33998,50;198713,00
2015-03-24;2015-03-25;95451,50;34454,75;1422,50;20841,75;117004,25;2599,25;218375,75;413611,25;346743,25;66248,00;29028,75;207476,75
2015-03-25;2015-03-26;95668,00;33655,00;8023,75;128680,75;97623,75;2286,75;202798,50;387404,50;335265,75;46447,75;24689,25;188347,25
2015-03-26;2015-03-27;95189,00;33596,50;12772,75;109214,00;38510,50;2087,50;216036,25;395937,00;340923,00;74376,50;42799,00;205473,75
2015-03-27;2015-03-28;95244,25;34146,00;8522,00;210946,00;76243,75;2426,00;227273,00;400329,75;288594,50;43383,75;28112,00;175148,50
2015-03-28;2015-03-29;94731,00;31772,50;17147,25;185383,75;115419,00;2473,50;226674,50;402325,75;144951,75;29136,25;22163,75;92508,25
2015-03-29;2015-03-30;90711,00;29397,00;21215,50;462892,25;37867,50;2040,00;199451,50;260208,50;68187,25;26390,75;33471,00;92046,25
2015-03-30;2015-03-31;94919,00;39090,50;27639,50;495187,00;90401,75;2327,75;223267,00;268727,25;114732,75;31462,75;29037,50;128731,50
